prodi,beasiswa,ukt,ips1,ips2,ips3,jmm1,jmm2,jmm3,jalurmasuk
1,0,6,4,3,1,1,1,1,3
1,0,5,5,4,2,0,0,1,1
1,1,3,4,3,3,1,1,1,1
1,1,3,4,5,1,0,1,1,1
1,1,3,5,4,3,0,1,1,2
14,1,3,4,3,5,0,1,0,2
14,0,3,5,5,5,0,0,0,3
14,1,3,5,4,5,0,0,0,1
14,1,3,4,1,1,0,1,1,2
14,1,3,5,4,5,0,0,0,2
14,0,5,5,4,5,0,0,0,3
14,1,3,5,4,5,0,0,0,2
14,0,5,5,4,5,0,0,0,2
14,0,3,5,4,5,0,0,0,2
14,1,3,5,5,6,0,0,0,1
14,1,3,5,5,6,0,0,0,1
14,1,3,5,5,6,0,0,0,1
14,1,3,5,4,5,0,0,0,1
14,1,3,4,4,5,0,1,0,2
14,1,3,5,4,4,0,0,0,2
14,1,3,5,4,5,0,0,0,2
14,1,3,5,4,5,0,1,0,2
14,0,9,5,3,5,0,1,0,2
14,0,4,5,4,5,0,0,0,2
14,0,4,4,4,5,0,0,0,1
